Word or Phrase,Word or Phrase,Example Usage
67,"Gen Alpha song reference, and a dance move modeled after a child youtuber.","""SIIIXXX SEVEENNN"""
Airball,Not being close to the correct thing,"""Let me shoot my shot...HOLY AIRBALL"""
Alpha / Beta / Sigma,"Describes social hierarchies among men: alpha (leader), beta (follower), sigma (independent)",“He’s got sigma energy.”
Alt,Denoting an “alternative” style which is often different or edgy compared to mainstream culture.,"""She dresses alt"""
Aura,"Often used to comment on social media posts, this typically means “cool.”","""Bro gained infinite aura"" ""Bro lost 1000 aura"""
Aura Check,A humorous way of judging someone’s vibe or energy—can be serious or sarcastic.,“Aura check failed.”
Beef,When two content creators or influencers on Instagram or TikTok create negative drama between themselves.,"""I have beef with her"""
Bet,"A casual slang term meaning “okay,” “sure,” or “got it.” It can also signal agreement or confirmation.","""Lets go to tacobell...betttt"""
Big Mood,Used to express a strong connection to an experience or general relatability.,"""Bro is in a big mood right now"""
Blud,"Friend, buddy, or bro","“What’s up, blud?”"
Bougie,Something high-end or luxurious. This term is sometimes used mockingly.,"""Your room is so bougie"""
Brainrot,The impact of consuming an excessive amount of addictive or low-quality online content. It refers to both the act of consuming this content and how it can lead to becoming out of touch with reality or holding silly opinions. This term is now widely used both on and offline.,"""I can't stop saying brainrot"""
Bruh,A general and widely used reaction word that often refers to a friend.,"""bruh that's lame"""
Bussin,Very good or delicious (especially food),“These tacos are bussin.”
Canceled,"Publicly called out or ""cancelled"" on social media.","""She got canceled"""
Cap,Used to call out exaggerations or lies. ,"""That is so cap"""
Chad / GigaChad,"Refers to a stereotypically attractive, confident man. Sometimes used admiringly, but also ironically. In brain rot contexts, it’s used in memes and commentary about idealized masculinity.","""Bro is chad"""
Cheugy,Outdated or trying too hard; not in fashion,“That’s so cheugy.”
Clanker,A slur for a robot or AI; derogatory term for technology,"""Bro’s PC fans sound like a jet engine, man’s a whole clanker."""
Cooked,"Overwhelmed, in trouble, or exhausted. Not to be confused with “cooking” which means doing well at something.","""Bro I am cooked for this exam"""
Corecore,Can be used to refer to an image or video that can’t be described or explained without being shown.,
Cornification,A situation where someone has become so addicted to cringeworthy content that they can no longer act in a productive manner.,"""Homie wears socks with sandals unironically — instant cornification."""
Cottagecore,"An aesthetic inspired by simplicity, the countryside, and nature, often reflected in how someone dresses or their interior decor.","""This dress is so cottagecore"""
Cracked,Being extremely good at something ,"""He's so cracked at the game."""
Crash out,To act recklessly or go insane,“Don’t crash out over a game.”
Cringe,Something embarrassing or awkward,“His joke was pure cringe.”
